Geopolitical entity (reporting),2013,2018,2021,2022,2023
Albania,,5.1,5.4,,
Austria,7.7,7.8,7.9,7.9,
Belgium,7.5,7.5,7.5,7.6,7.6
Bulgaria,4.1,4.5,4.9,4.9,5.2
Croatia,6.0,5.6,6.0,6.1,
Cyprus,6.0,6.8,6.3,6.8,
Czechia,6.6,7.0,6.8,6.9,
Denmark,8.5,8.2,7.8,8.0,
EU27,6.8,7.0,6.9,6.9,
Estonia,6.1,6.6,6.9,6.7,6.8
Finland,7.9,8.1,8.0,7.8,
France,6.9,7.0,6.6,6.8,
Germany,7.4,7.3,7.0,6.6,
Greece,5.7,6.1,6.5,6.4,
Hungary,5.8,5.9,6.1,6.5,
Iceland,8.0,7.9,,,
Ireland,7.9,8.2,7.5,7.6,
Italy,6.4,6.8,6.9,6.9,
Kosovo,,5.4,,,
Latvia,6.0,6.3,6.4,6.5,6.5
Lithuania,6.3,5.8,6.4,6.6,
Luxembourg,7.3,7.7,7.5,7.7,
Malta,7.1,7.4,6.8,7.1,
Montenegro,4.9,5.5,5.7,5.1,
Netherlands,7.9,7.8,7.8,7.7,
North Macedonia,5.3,5.5,,,
Norway,8.0,8.2,7.5,7.6,
Poland,6.9,7.4,7.3,7.4,
Portugal,5.8,6.1,6.4,6.6,
Romania,6.4,6.6,7.3,7.1,
Serbia,4.7,5.2,5.5,5.5,
Slovakia,6.5,6.3,6.7,6.5,
Slovenia,6.5,6.8,7.2,7.2,
Spain,6.6,7.0,6.9,6.9,
Sweden,8.2,7.9,7.5,7.6,
Switzerland,8.4,8.4,8.3,8.5,
Türkiye,5.6,5.7,5.6,,
United Kingdom,7.6,7.9,,,
