Geopolitical entity (reporting),65 years or over,From 16 to 24 years,From 25 to 64 years
Austria,7.8,7.7,7.6
Belgium,7.6,7.9,7.7
Bulgaria,5.2,6.8,6.1
Croatia,6.2,8.3,7.3
Cyprus,6.9,8.2,7.5
Czechia,6.9,8.1,7.5
Denmark,8.0,7.3,7.4
EU27,7.1,7.6,7.3
Estonia,6.8,7.6,7.3
Finland,7.9,7.5,7.7
France,7.1,7.7,7.2
Germany,6.8,7.3,7.0
Greece,6.5,7.4,7.0
Hungary,6.8,7.9,7.4
Ireland,7.8,7.6,7.5
Italy,7.0,7.6,7.3
Latvia,6.5,7.6,6.9
Lithuania,6.7,7.9,7.3
Luxembourg,7.8,7.6,7.1
Malta,7.3,7.6,7.4
Netherlands,7.8,7.4,7.6
North Macedonia,5.2,6.7,5.9
Norway,7.8,7.7,7.6
Poland,7.4,7.9,7.7
Portugal,6.7,7.8,7.2
Romania,7.3,8.3,7.8
Serbia,5.8,7.7,6.4
Slovakia,6.6,8.0,7.4
Slovenia,7.3,8.1,7.8
Spain,7.0,7.8,7.2
Sweden,7.8,7.3,7.4
Switzerland,8.4,7.3,7.7
Türkiye,5.7,5.7,5.6
