Geopolitical entity (reporting),2013,2018,2021,2022,2023
Albania,,5.9,6.1,,
Austria,8.4,8.4,8.2,8.1,
Belgium,7.8,7.8,7.7,7.8,7.9
Bulgaria,5.8,6.3,6.4,6.4,6.8
Croatia,7.5,7.8,7.9,7.9,
Cyprus,6.9,7.7,7.2,7.5,
Czechia,7.7,8.2,7.9,8.0,
Denmark,8.0,7.6,6.8,7.1,
EU27,7.6,7.8,7.6,7.5,
Estonia,7.2,7.8,7.5,7.6,7.6
Finland,8.2,8.2,7.9,7.6,7.3
France,7.7,7.9,7.2,7.6,
Germany,7.6,7.7,7.4,6.6,
Greece,7.0,7.2,7.4,7.4,
Hungary,7.0,7.3,7.1,7.5,
Iceland,8.2,8.1,,,
Ireland,7.7,8.3,7.0,7.4,
Italy,7.1,7.6,7.6,7.6,
Kosovo,,6.6,,,
Latvia,7.3,7.5,7.2,7.6,7.6
Lithuania,7.8,7.4,7.6,7.9,
Luxembourg,7.8,7.7,7.7,7.6,
Malta,7.6,7.6,7.3,7.8,
Montenegro,7.0,7.6,7.3,6.5,
Netherlands,7.9,7.7,7.5,7.6,
North Macedonia,6.3,6.8,,,
Norway,8.0,8.0,7.6,7.7,
Poland,8.1,8.2,7.9,8.2,
Portugal,7.5,7.9,7.6,7.6,
Romania,8.0,8.2,8.1,8.1,
Serbia,6.1,6.8,7.0,7.3,
Slovakia,7.6,7.9,8.1,7.8,
Slovenia,7.8,8.2,8.2,7.8,8.2
Spain,7.4,7.9,7.7,7.7,7.8
Sweden,7.9,7.9,7.5,7.3,7.3
Switzerland,8.1,8.1,7.8,7.7,
Türkiye,6.1,6.1,5.7,,
United Kingdom,7.5,7.5,,,
