Geopolitical entity (reporting),Fifth quintile,First quintile,Fourth quintile,Second quintile,Third quintile,Total
Austria,8.2,7.3,8.0,7.6,7.8,7.8
Belgium,7.9,7.0,7.8,7.3,7.5,7.5
Bulgaria,6.5,4.6,5.9,5.2,5.5,5.5
Croatia,7.6,5.9,7.2,6.5,6.9,6.8
Cyprus,7.7,6.3,7.4,6.8,7.0,7.0
Czechia,7.9,6.7,7.5,7.1,7.4,7.3
Denmark,8.0,7.0,7.7,7.3,7.6,7.5
Estonia,7.7,6.5,7.5,6.9,7.2,7.1
European Union - 27 countries (from 2020),7.6,6.5,7.3,6.9,7.1,7.1
Finland,8.2,7.4,8.1,7.5,7.8,7.7
France,7.5,6.3,7.2,6.6,7.0,6.9
Germany,7.0,5.9,6.7,6.2,6.4,6.5
Greece,7.4,6.1,6.9,6.4,6.8,6.7
Hungary,7.4,6.0,7.1,6.6,6.9,6.8
Ireland,7.8,6.9,7.6,7.2,7.4,7.4
Italy,7.5,6.8,7.3,7.0,7.1,7.1
Latvia,7.5,6.2,7.1,6.5,6.8,6.8
Lithuania,7.9,6.1,7.5,6.8,7.1,7.0
Luxembourg,7.6,6.6,7.1,6.9,7.2,7.1
Malta,7.7,7.0,7.5,7.0,7.3,7.3
Netherlands,8.1,7.0,7.8,7.5,7.7,7.6
Norway,8.1,7.2,7.8,7.4,7.7,7.6
Poland,8.0,7.2,7.8,7.5,7.7,7.6
Portugal,7.6,6.1,7.3,6.7,7.0,6.9
Romania,8.3,6.8,7.9,7.4,7.7,7.7
Serbia,6.9,4.9,6.6,5.8,6.1,6.1
Slovakia,7.6,6.2,7.1,7.0,6.8,7.0
Slovenia,7.9,7.0,7.8,7.4,7.7,7.5
Spain,7.6,6.6,7.3,6.9,7.1,7.1
Sweden,7.9,6.9,7.7,7.3,7.4,7.4
Switzerland,8.4,7.5,8.2,7.8,8.0,8.0
