Geopolitical entity (reporting),Females,Males,Total
Austria,7.8,7.6,7.7
Belgium,7.6,7.7,7.7
Bulgaria,5.8,5.9,5.9
Croatia,7.0,7.2,7.1
Cyprus,7.4,7.5,7.4
Czechia,7.4,7.4,7.4
Denmark,7.6,7.4,7.5
EU27,7.2,7.3,7.3
Estonia,7.2,7.1,7.2
Finland,7.8,7.7,7.8
France,7.1,7.2,7.1
Germany,7.0,7.0,7.0
Greece,6.8,6.9,6.9
Hungary,7.2,7.3,7.2
Ireland,7.5,7.7,7.6
Italy,7.2,7.3,7.2
Latvia,6.9,6.9,6.9
Lithuania,7.2,7.1,7.2
Luxembourg,7.2,7.3,7.3
Malta,7.4,7.4,7.4
Netherlands,7.6,7.6,7.6
North Macedonia,5.8,5.9,5.8
Norway,7.7,7.6,7.6
Poland,7.6,7.6,7.6
Portugal,7.0,7.2,7.1
Romania,7.7,7.8,7.7
Serbia,6.3,6.5,6.4
Slovakia,7.2,7.3,7.3
Slovenia,7.7,7.7,7.7
Spain,7.2,7.3,7.2
Sweden,7.5,7.4,7.5
Switzerland,7.8,7.8,7.8
Türkiye,5.7,5.6,5.6
